num,email,firstname,lastname, codeAir
1,candy@example.com, John, Candy, AS
2,ahepburn@example.com, Audrey, Hepburn, DL
3,monroe@example.com, Marilyn, Monroe, AA
4,anne@example.com, Anne, Bancroft, AS
5,john@example.com,John,Goodman, EV
6,dustin@example.com, Dustin, Hoffman, OO
7,don@example.com, Don, Draper, WN
8,sally@example.com, Sally, Chin, EV
9,eve@example.com, Eve, Plumb, EV
10,jennifer@example.com, Jennifer, Hudson, AS
11,jamie@example.com, Jamie, Lee Curtis, B6
12,dorothy@example.com, Dorothy, Mackaill, HA
13,elizabeth@example.com, Elizabeth, Taylor, B9
14,carol@example.com, Carol, Dempster, NK
15,bette@example.com, Bette, Midler, UA
16,diana@example.com, Diana, Muldaur, US
17,susannah@example.com, Susannah, York, VX
